Summary,Issue Type,Description,Priority,Labels,Assignee,Reporter,Components,Original Estimate,Due Date
"B-001: Create Room Entity and Repository","Task","Create Room JPA entity with fields: id, roomNumber, capacity, building, location, amenities, isAvailable, createdAt, updatedAt. Add RoomRepository with methods like findByIsAvailable and findByCapacity. Acceptance: DB migration, unit tests, validation annotations.",Highest,"backend,P0","boitumelo","project_admin","backend",4h,
"B-002: Create Room Service and Controller","Task","Implement RoomService (getAll, getById, create, update, delete) and RoomController endpoints: GET /rooms, POST /rooms, PUT /rooms/{id}, DELETE /rooms/{id}. Add RoomRequest/RoomResponse DTOs and RoomMapper (MapStruct). Acceptance: integration tests for endpoints.",Highest,"backend,P0","boitumelo","project_admin","backend",6h,
"B-003: Enhance Application Entity with Room Preferences","Story","Extend Application entity to include accommodationType (single/shared/studio), moveInDate, duration, budget, specialRequirements and a OneToOne relation to Room. Update DTOs and mapper. Acceptance: DB migration and unit tests.",High,"backend,P1","boitumelo","project_admin","backend",4h,
"B-004: Implement Room Allocation Service","Story","Create RoomAllocationService with an algorithm matching applications to available rooms by preferences; provide allocateRoom(applicationId) and deallocateRoom(applicationId). Validate capacity and availability; integrate with notifications. Acceptance: allocation methods and tests.",High,"backend,P1","boitumelo","project_admin","backend",8h,
"B-005: Enhance Document Upload Validation","Task","Improve DocumentService: validate file types (PDF/JPG/PNG), max size 10MB, basic virus scanning (ClamAV integration optional), duplicate detection, document expiration handling. Acceptance: validation service and unit tests.",High,"backend,P1,documents","boitumelo","project_admin","backend",6h,
"B-006: Document Verification Workflow","Task","Admin endpoints to review and verify documents. Implement status workflow PENDING→APPROVED/REJECTED, audit trail entity, email notifications and bulk processing endpoints. Acceptance: admin verify endpoint and audit logging.",High,"backend,P1,admin","boitumelo","project_admin","backend",6h,
"B-007: Create Admin User Role and Permissions","Task","Add UserRole.ADMIN; update SecurityConfig to enforce role-based access; include @PreAuthorize on admin endpoints; seed an admin user and include roles in JWT. Acceptance: admin endpoints protected and seeded admin user.",Highest,"backend,P0,security,admin","boitumelo","project_admin","backend",4h,
"B-008: Admin Dashboard Analytics API","Story","Create analytics endpoints for admin: application stats, document queue stats, room occupancy, registration trends, dashboard summary and export. Acceptance: analytics endpoints and DTOs with tests.",High,"backend,P1,analytics,admin","boitumelo","project_admin","backend",8h,
"B-009: Notification System Backend","Story","Implement Notification entity and repository, EmailService (SMTP) with templates, NotificationService for events, REST endpoints for user notifications, preferences and async bulk processing. Acceptance: in-app notifications + email flow.",High,"backend,P1,notifications","boitumelo","project_admin","backend",10h,
"B-010: Complete Application Submission Flow","Story","Enhance ApplicationService to support full workflow: submission with required fields, document requirement checks, status transitions, timeline tracking, 30-day expiration job, room allocation integration. Acceptance: end-to-end flow and integration tests.",Highest,"backend,P0,applications","boitumelo","project_admin","backend",8h,
"B-011: Application Search and Filtering API","Task","Implement search/filter for applications by student name/number/status; filters for date range, type, institution; pagination/sorting; CSV export. Use JPA Criteria API for complex queries. Acceptance: /applications/search endpoint with pageable response.",Medium,"backend,P2,search","boitumelo","project_admin","backend",6h,
"F-001: Implement Material Design System","Task","Install and configure Angular Material; create custom Apple-inspired theme and system typography; build reusable shared component library and ensure WCAG 2.1 AA accessibility. Acceptance: theme + shared components and style guide.",Highest,"frontend,P0,ui,material","ayanda","project_admin","frontend",8h,
"F-002: Enhanced Student Registration Form","Story","Improve registration UX: real-time validation, progressive disclosure, helpful tooltips, integrate institution/year APIs, and add localStorage persistence. Acceptance: validated form with API integration and persistence.",High,"frontend,P1,forms","ayanda","project_admin","frontend",6h,
"F-003: Document Upload Interface Enhancement","Story","Implement drag-and-drop upload, progress indicators, previews, multi-file support, validation errors and upload history UI. Acceptance: functioning upload UI and clear validation feedback.",High,"frontend,P1,documents,upload","ayanda","project_admin","frontend",8h,
"F-004: Application Form Enhancement","Story","Create a comprehensive application wizard: accommodation fields, room preference selection with images, budget slider, special requirements, T&C acceptance and progress indicator. Acceptance: multi-step wizard UI with validations.",High,"frontend,P1,forms,application","ayanda","project_admin","frontend",10h,
"F-005: Application Tracking Dashboard","Story","Add detailed timeline component, status badges, required actions, history view and cancellation functionality to the tracking dashboard. Acceptance: timeline UI and action items display.",High,"frontend,P1,dashboard","ayanda","project_admin","frontend",6h,
"SM-1: Sprint Planning & Backlog Management","Task","Ongoing sprint planning, backlog prioritization, daily standups (async), retrospectives, velocity tracking and impediment resolution. (Assigned to Scrum Master)",High,"process,scrum,ba","ayanda","project_admin","",2h/week,
"SM-2: Project Documentation & Communication","Task","Maintain project docs, weekly status reports, meeting minutes, risk register and stakeholder communication.",High,"process,docs","ayanda","project_admin","",1h/day,
"BA-1: Requirements Analysis & Validation","Task","Analyze business requirements, create detailed user stories with INVEST criteria and acceptance criteria; define personas and traceability matrix.",High,"ba,requirements","ayanda","project_admin","",8h,
"BA-4: Testing Strategy & Quality Assurance","Task","Define test strategy: unit/integration/E2E plans, coverage goals, performance and security testing checklist; create test case templates.",High,"qa,testing","ayanda","project_admin","",6h
